TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
10-07-2026,10-07-2026,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6821.2,6910.55,6813.25,6833.55,6833.55,6820.25,,6836,,,5129,35197425,1099,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,1295.95,1296,1225.5,1252.35,1252.35,1265.7,,1246.7,,,195167,247418699,12552,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,882.3,896.9,867.9,887.7,888.5,869.45,,889.9,,,94631,83570783,2744,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,31.72,31.73,30,30.82,30.88,31.1,,30.93,,,61967,1914765,494,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,49.88,50.69,47.26,49.17,49.03,48.89,,49.17,,,137106,6743698,1030,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.8,4.08,3.8,3.92,3.92,3.82,,3.92,,,2817,10996,50,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.64,7.64,7.28,7.59,7.29,7.49,,7.59,,,2587,19484,31,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,125.7,129,125.7,127.8,127.8,126.15,,127.76,,,42064,5382561,489,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,322.7,323.5,314.65,315.75,315.75,320.75,,316.25,,,201,64702,20,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6234,6325,6170.75,6237.25,6325,6184.1,,6236,,,2352,14677749,625,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,26,27.2,25.4,25.69,25.69,25.81,,25.69,,,24141,623978,202,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,327.45,332.8,327.15,331.45,332,326.45,,331.1,,,5742,1889099,191,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,17.27,17.55,17.27,17.35,17.34,17.26,,17.35,,,298535,5199934,1012,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,18443.75,18443.75,18110,18151.4,18151.4,18165.8,,18169,,,3387,61795097,836,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,1013.95,1023.6,1004.3,1020.45,1020.3,1003.3,,1020.5,,,809472,821115860,21852,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,567.35,569.7,560.1,566.35,565.2,567.95,,566.85,,,24645,13914418,728,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,673.1,691.85,673.1,681.95,681,672.75,,681.85,,,7075,4827099,358,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1415,1451,1404.95,1443.55,1445,1404.75,,1446.7,,,17593,25248256,1262,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3494.95,3558,3494.95,3545.4,3548,3479.8,,3543.9,,,768,2708756,194,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,683.05,710,678.1,691.55,693,672.8,,690.75,,,61991,43151905,2397,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,1825,1866,1823.2,1861.35,1864,1813.6,,1862.6,,,17585,32344000,925,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,408,415.45,408,414.9,414.85,406.05,,414.85,,,515730,212956618,5218,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500051,INE099C01010,BHAGGAS,XT,,,,,BHAGAWATI GAS LIMITED,10.23,10.23,10.23,10.23,10.23,10.03,,10.23,,,5178,52970,22,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,102.47,106,102.36,103.09,103,101.04,,103.14,,,42061,4374861,735,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,12.9,12.9,12.11,12.67,12.78,12.39,,12.67,,,8879,110417,88,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,T,,,,,BIL VYAPAR LIMITED,4.38,4.4,4.22,4.24,4.24,4.2,,4.19,,,5695,24916,19,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,T,,,,,Birla Cable Limited,193,194.8,185.8,190.2,190.2,185.55,,189.5,,,7998,1542030,131,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1624.35,1666,1619.1,1661.3,1666,1614.4,,1662,,,12613,20697636,1446,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,12200,12281.55,12200,12281,12281,11839.1,,12327,,,11,134462,11,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,277.5,284.5,276,276,276,276.4,,276,,,704,194912,59,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,59.9,59.9,57.48,58.13,58,59.23,,58.1,,,13613,792690,410,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,347,349.95,339.15,346.5,346.6,348.15,,345.2,,,778,269654,49,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,18.82,19.13,18.8,18.92,18.9,18.82,,18.89,,,2193,41398,52,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,164.35,166.8,163.7,164,164,162.8,,163.93,,,68291,11246435,1363,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,458.9,459,453,453.55,454,453.95,,453.75,,,40713,18512491,2080,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,429.8,431,422.1,424.5,424.5,424.95,,424.4,,,193328,82448225,3859,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1432.25,1454.6,1432.25,1438.75,1438.75,1441.7,,1439.4,,,27014,39006254,3118,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,522.85,581,522.85,547.7,547.7,511,,522.6,,,210,121468,6,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4124.9,4209.85,4051.75,4093.85,4083,4053.85,,4097.4,,,4330,17953734,890,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,918.8,923.5,913.8,916.6,916,910.5,,916.6,,,134314,123376695,6085,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,444,447,441,443.45,443.45,443.25,,443.5,,,65410,29019154,1806,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,362.05,362.5,355.85,356.45,358,359.75,,356.95,,,6588,2371557,173,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,542.65,542.65,525,526.1,526.1,532.15,,526.7,,,17769,9440993,763,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,389.25,395.8,386.75,395.3,395.3,381.55,,395.25,,,498912,195769543,6018,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,395.45,398.8,394.5,395.35,395.35,392.2,,395.3,,,236035,93635527,3128,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,78.33,79.64,77.2,77.44,77.44,76.73,,77.46,,,3088378,241513009,10148,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500108,INE153A01019,MTNL,B,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,28.94,29.67,28.94,29.29,29.27,28.91,,29.27,,,42716,1251081,322,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,150.05,163.1,150.05,162.45,162.45,149.65,,162.49,,,1689770,269242569,10926,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,1134.15,1187,1134,1181.8,1181.8,1121.95,,1180.8,,,178362,208505492,6877,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,1028.95,1047.85,1023.85,1036.15,1036.15,1021.65,,1036,,,401237,415002704,10140,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,168.3,172.35,167.15,168.05,168.05,165.85,,167.95,,,482573,81861682,3507,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,4588,4602,4564.85,4586.1,4574.5,4555.45,,4584.4,,,15078,69143340,2102,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,82.96,84,82.21,82.9,82.94,82.36,,82.89,,,758541,62997882,2689,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500117,INE500A01029,DCW,B,,,,,DCW LTD.,48.93,49.72,48.85,49.02,49.13,48.35,,49,,,50360,2480364,210,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500119,INE041A01016,DHAMPURSUG,B,,,,,DHAMPUR SUGAR MILLS LTD.,143.75,143.95,142.8,143.35,143.5,142.15,,143.3,,,7226,1035792,205,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500120,INE591D01014,DIAMINESQ,B,,,,,DIAMINES & CHEMICALS LTD.,268,270.95,266.4,269.5,269.5,267.05,,269.75,,,389,104179,84,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500123,INE280B01018,ELANTAS,B,,,,,ELANTAS BECK INDIA LTD.,9875,9875,9502.4,9549.05,9621.7,9778.2,,9604,,,90,866818,45,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500124,INE089A01031,DRREDDY,A,,,,,DR.REDDYS LABORATORIES LTD.,1254.95,1254.95,1222,1245.5,1245.5,1269.8,,1244.3,,,399100,495537587,15723,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500125,INE126A01031,EIDPARRY,A,,,,,E.I.D.-PARRY (INDIA) LTD.,751.6,760.6,749.45,758.15,758.15,748.45,,758.65,,,15596,11772590,910,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500126,INE199A01012,PGHL,A,,,,,PROCTER & GAMBLE HEALTH LIMITE,6610,6940,6585.65,6831.95,6810,6622,,6839,,,1915,13014772,595,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500128,INE086A01029,ELECTCAST,A,,,,,ELECTROSTEEL CASTINGS LTD.,76.63,77.64,76.29,77.38,77.54,75.4,,77.27,,,65918,5071690,524,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500133,INE284A01012,ESABINDIA,A,,,,,ESAB INDIA LTD.,5668,5793.9,5668,5761.45,5729,5660.4,,5746.5,,,287,1642962,53,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500135,INE255A01020,EPL,A,,,,,EPL LIMITED,242.05,242.05,236.8,237.5,237.45,239.45,,237.56,,,9602,2292861,224,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500136,INE778B01029,ESTER,B,,,,,ESTER INDUSTRIES LTD.,88.25,91.74,88.25,90.75,90.75,89.58,,90.55,,,4502,409203,92,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500142,INE512A01016,FGP,X,,,,,FGP LTD.,11.35,11.9,11.01,11.69,11.9,11.36,,11.69,,,2652,30261,31,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500143,INE160F01013,PHCAP,XT,,,,,PH CAPITAL LTD.,969.95,989.95,966,970,970,957.05,,970,,,2364,2295135,34,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500144,INE235A01022,FINCABLES,A,,,,,FINOLEX CABLES LTD.,1047.2,1063.2,1046.3,1054.75,1058,1046.9,,1054.5,,,13056,13756726,833,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500147,INE515A01019,COCKERILL,B,,,,,JOHN COCKERILL INDIA LIMITED,9544,9842.5,9457.1,9518.4,9518.4,9337.2,,9545,,,3379,32655549,1062,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500148,INE516A01017,UFLEX,B,,,,,UFLEX LTD.,433.35,458,433.35,450.3,450.1,434.55,,451.1,,,11126,4992214,481,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500150,INE519A01011,FOSECOIND,B,,,,,FOSECO INDIA LTD.,5169,5239.9,5169,5220.75,5234,5200,,5230.5,,,39,203597,25,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500151,INE973A01010,GOLDENTOBC,Z,,,,,GOLDEN TOBACCO LTD.,24.5,26.74,24.5,26.74,26.74,25.5,,25.97,,,595,14873,8,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500153,INE388A01029,GANESHBE,B,,,,,GANESH BENZOPLAST LTD.,98.3,98.75,96.55,97.15,97.25,96.5,,96.95,,,8309,811176,203,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500159,INE085D01033,METROGLOBL,B,,,,,METROGLOBAL LIMITED,138.8,138.8,134,134.1,134.1,132.65,,133.9,,,1363,185174,29,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500160,INE043A01012,GTL,B,,,,,GTL LTD.,7.44,7.6,7.31,7.36,7.39,7.29,,7.36,,,58324,433313,201,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500163,INE260B01028,GODFRYPHLP,A,,,,,GODFREY PHILLIPS INDIA LTD.,2108.3,2130,2100,2113.6,2113.6,2103.65,,2115.2,,,20201,42786212,1408,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500164,INE233A01035,GODREJIND,A,,,,,GODREJ INDUSTRIES LTD.,1219,1443.65,1219,1418.7,1418.7,1216.75,,1417.7,,,126184,173708149,5068,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500165,INE531A01024,KANSAINER,A,,,,,KANSAI NEROLAC PAINTS LTD.,201,204.85,201,202.55,202.25,200.7,,202.64,,,11563,2354582,380,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500166,INE300A01016,GOODRICKE,X,,,,,GOODRICKE GROUP LTD.,185,185,180.4,180.8,180.8,182,,180.8,,,4623,841947,67,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500168,INE533A01012,GOODYEAR,B,,,,,GOODYEAR INDIA LTD.,755.2,789,755.2,787.5,787.5,770.8,,780.5,,,1419,1110648,170,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,500170,INE537A01013,GTNINDS,X,,,,,GTN INDUSTRIES LTD.,22.21,22.73,21.06,21.94,21.94,22,,21.94,,,1835,40177,25,F1,1,,,,,
